year,ifs,cowcode,country.x,police,polity2_P4,additive_FA,additive_FA_lagged,gdp_WDI_log10,gdp_WDI,pop_WDI_log10,pop_WDI,cameo_protests,trade_WDI,lji_LS,repress_index,repress_index_lagged,geocode,countryname,auton,author
1995,ESP,230,Spain,0,10,6,6,11.9744882,943000000000,7.59905352,39724050,0,44.77537409,0.933300018,2,2,Spain,Spain,1,1
1995,FRA,220,France,1,9,8,8,12.30525246,2020000000000,7.774822682,59541899,27,43.64612858,0.787,0,0,France,France,1,1
1995,GHA,452,Ghana,0,-1,6,7,10.17195893,14857951393,7.230807883,17014057,1,57.42309429,0.31400001,2,1,Ghana,Ghana,0,0
1995,GRC,350,Greece,1,10,6,5,11.32281243,210000000000,7.023752454,10562153,5,37.1078808,0.796500027,2,3,Greece,Greece,1,0
1995,GTM,90,Guatemala,1,3,2,2,10.38953776,24520976222,7.017387688,10408489,4,44.68943034,0.348100007,6,6,Guatemala,Guatemala,0,0
1995,HUN,310,Hungary,0,10,8,8,10.96624386,92521753957,7.014056806,10328965,3,78.38470531,0.9199,0,0,Hungary,Hungary,0,0
1995,IND,750,India,1,9,0,0,11.81310106,650000000000,8.984042157,963922588,34,22.86744871,0.718100011,8,8,India,India,0,1
1995,ITA,325,Italy/Sardinia,1,10,6,6,12.27140709,1870000000000,7.754686946,56844303,2,45.68455417,0.93900001,2,2,Italy,Italy,1,1
1995,MAR,600,Morocco,1,-7,4,4,10.67273529,47069034480,7.431271266,26994250,0,51.71502538,0.280000001,4,4,Morocco,Morocco,0,0
1995,MEX,70,Mexico,0,4,2,1,11.8496847,707000000000,7.962195417,91663285,18,46.32101929,0.445100009,6,7,Mexico,Mexico,0,1
1995,MOZ,541,Mozambique,1,5,5,3,9.522635847,3331469545,7.189863136,15483286,0,60.80665677,0.28459999,3,5,Mozambique,Mozambique,0,0
1995,MYS,820,Malaysia,1,3,5,5,11.10928487,129000000000,7.311491235,20487607,0,192.1132003,0.460500002,3,3,Malaysia,Malaysia,0,1
1995,NGA,475,Nigeria,1,-6,4,2,11.16312558,146000000000,8.033215948,107948335,4,39.52837841,0.061099999,4,6,Nigeria,Nigeria,0,0
1995,NPL,790,Nepal,0,5,5,6,9.935701159,8623849303,7.333972363,21576071,3,59.4905184,0.491600007,3,2,Nepal,Nepal,0,1
1995,SGP,830,Singapore,0,-2,6,7,11.01652776,104000000000,6.547098254,3524506,0,345.4592639,0.385899991,2,1,Singapore,Singapore,0,0
1995,SLV,92,El Salvador,1,7,8,6,10.15331163,14233497577,6.750400386,5628600,3,59.36075434,0.467900008,0,2,El Salvador,El Salvador,0,0
